t,dp1,dp2,dp3,dv1,dv2,dv3,tau1,tau2,tau3,da1,da2,da3
1.73,-0.184924,-2.302957,0.0,-1.735714,-1.859198,0.0,0.002144,7.953858,0.0,0.001671,0.001986,0.0
1.74,-0.202264,-2.321529,0.0,-1.734015,-1.857223,0.0,0.002147,8.123975,0.0,0.001699,0.001975,0.0
1.75,-0.219587,-2.340082,0.0,-1.732289,-1.855258,0.0,0.00215,8.290742,0.0,0.001726,0.001965,0.0
1.761,-0.236892,-2.358618,0.0,-1.730551,-1.853612,0.0,0.00215,8.290742,0.0,0.001738,0.001646,0.0
1.771,-0.25418,-2.377137,0.0,-1.728787,-1.851973,0.0,0.002152,8.454091,0.0,0.001764,0.001639,0.0
1.78,-0.27145,-2.395641,0.0,-1.727,-1.850342,0.0,0.002155,8.613959,0.0,0.001787,0.001631,0.0
1.791,-0.288702,-2.414128,0.0,-1.725191,-1.84872,0.0,0.002158,8.770281,0.0,0.001809,0.001622,0.0
1.8,-0.305936,-2.432599,0.0,-1.72336,-1.847109,0.0,0.002161,8.922996,0.0,0.001831,0.001611,0.0
1.81,-0.323151,-2.451054,0.0,-1.721509,-1.84551,0.0,0.002164,9.072044,0.0,0.001851,0.001599,0.0
1.82,-0.340347,-2.469494,0.0,-1.71964,-1.843923,0.0,0.002167,9.217366,0.0,0.001869,0.001587,0.0
1.83,-0.340347,-2.469494,0.0,-1.71964,-1.843923,0.0,0.002167,9.217366,0.0,0.0,0.0,0.0
1.84,-0.374683,-2.506325,0.0,-1.715851,-1.840796,0.0,0.002172,9.496606,0.0,0.003789,0.003127,0.0
1.85,-0.391822,-2.524718,0.0,-1.713934,-1.839257,0.0,0.002178,9.630414,0.0,0.001917,0.001539,0.0
1.86,-0.408942,-2.543093,0.0,-1.711995,-1.837501,0.0,0.002184,9.88615,0.0,0.001939,0.001756,0.0
1.87,-0.426043,-2.56145,0.0,-1.710044,-1.835772,0.0,0.002186,10.007978,0.0,0.001951,0.001729,0.0
1.88,-0.443124,-2.579791,0.0,-1.708084,-1.834072,0.0,0.002189,10.125716,0.0,0.00196,0.0017,0.0
1.89,-0.460185,-2.598117,0.0,-1.706121,-1.832617,0.0,0.002189,10.125716,0.0,0.001963,0.001455,0.0
1.9,-0.477226,-2.616431,0.0,-1.704156,-1.831399,0.0,0.002189,10.125716,0.0,0.001965,0.001218,0.0
1.91,-0.494248,-2.634731,0.0,-1.702177,-1.829994,0.0,0.002192,10.348747,0.0,0.001979,0.001405,0.0
1.92,-0.51125,-2.653017,0.0,-1.700191,-1.828617,0.0,0.002198,10.453954,0.0,0.001986,0.001377,0.0
1.931,-0.528232,-2.67129,0.0,-1.698199,-1.827269,0.0,0.002201,10.554903,0.0,0.001992,0.001348,0.0
1.94,-0.545194,-2.68955,0.0,-1.696204,-1.825951,0.0,0.002201,10.651555,0.0,0.001995,0.001318,0.0
1.95,-0.562136,-2.707796,0.0,-1.694205,-1.824666,0.0,0.002203,10.743875,0.0,0.001999,0.001285,0.0
1.96,-0.579058,-2.726029,0.0,-1.6922,-1.823258,0.0,0.002209,10.915381,0.0,0.002005,0.001408,0.0
1.97,-0.59596,-2.744248,0.0,-1.690195,-1.821894,0.0,0.002212,10.994505,0.0,0.002005,0.001364,0.0
1.98,-0.612842,-2.762453,0.0,-1.68819,-1.820575,0.0,0.002218,11.069171,0.0,0.002005,0.001319,0.0
1.99,-0.629704,-2.780648,0.0,-1.686189,-1.819436,0.0,0.002218,11.069171,0.0,0.002001,0.001139,0.0
2.0,-0.646546,-2.798831,0.0,-1.68419,-1.818337,0.0,0.00222,11.139351,0.0,0.001999,0.001099,0.0
2.01,-0.663368,-2.817003,0.0,-1.682192,-1.817165,0.0,0.002226,11.266159,0.0,0.001998,0.001172,0.0
2.02,-0.68017,-2.835164,0.0,-1.680199,-1.816152,0.0,0.002226,11.266159,0.0,0.001993,0.001013,0.0
2.031,-0.696952,-2.853317,0.0,-1.678214,-1.815291,0.0,0.002226,11.266159,0.0,0.001985,0.000861,0.0
2.04,-0.713714,-2.871461,0.0,-1.676231,-1.814371,0.0,0.002232,11.374752,0.0,0.001983,0.00092,0.0
